3,2,2015-03-17 20:50,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-03-16 12:57,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2015-03-16 11:47,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2015-03-16 06:44,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-03-16 06:12,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-03-10 13:27,DRDC,DRDC/UNIT5,PRES FACIL,
3,2,2015-03-10 13:04,DRDC,DRDC/INTAK,PRES FACIL,
3,2,2015-02-10 17:25,C.S.P.,CSP/UNIT E,PRES FACIL,
3,2,2015-02-06 11:51,C.S.P.,CSP/UNIT F,PRES FACIL,
3,2,2015-02-03 21:08,ARK VALLEY,AVCF/RH,PRES FACIL,
3,2,2014-06-16 09:46,ARK VALLEY,AVCF/UNIT5,PRES FACIL,
3,2,2014-06-16 06:42,ARK VALLEY,AVCF/UNIT5,D/T PUEBLO,
3,2,2014-04-22 06:29,ARK VALLEY,AVCF/UNIT5,PRES FACIL,
3,2,2014-03-10 10:31,ARK VALLEY,AVCF/UNIT5,PRES FACIL,
3,2,2013-12-24 09:47,ARK VALLEY,AVCF/UNIT5,PRES FACIL,
3,2,2013-12-17 14:42,ARK VALLEY,AVCF/UNIT6,PRES FACIL,
3,2,2013-12-07 07:49,ARK VALLEY,AVCF/RH,PRES FACIL,
3,2,2013-11-09 11:42,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-10-17 10:34,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-10-17 07:00,ARK VALLEY,AVCF/UNIT2,D/T PUEBLO,
3,2,2013-09-05 10:57,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-09-05 07:40,ARK VALLEY,AVCF/UNIT2,D/T PUEBLO,
3,2,2013-06-08 13:30,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-04-17 09:19,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-04-17 06:24,ARK VALLEY,AVCF/UNIT2,D/T PUEBLO,
3,2,2013-04-04 13:18,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-03-13 10:10,ARK VALLEY,AVCF/UNIT2,PRES FACIL,
3,2,2013-03-11 17:16,ARK VALLEY,AVCF/UNIT6,PRES FACIL,
3,2,2013-03-11 12:51,ARK VALLEY,AVCF/INTAK,PRES FACIL,
3,2,2013-03-11 07:44,CROWLEY,CRLY/INTAK,PRES FACIL,
3,2,2013-02-22 07:22,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2013-01-25 11:51,CROWLEY,CCCF/RH,PRES FACIL,
